Date,Name,Address,lat,lng
8/13/2016,Spanky's Dive Bar,"71 Chester Rd, Springfield, VT 05156",43.299094,-72.501888
10/14/2016,Haunted Hill Horror Fest,"398 Route 12 S, Northfield, VT 05663",44.127432,-72.657302
2/16/2017,Center Street Alley,"2 Center St, Rutland, VT 05701",43.606303,-72.979311
2/17/2017,The Raven,"258 Pleasant St, Worchester, MA 01609",42.263788,-71.810924
2/24/2017,Club 188,"188 S Main St, White River Junction, VT 05001",43.645751,-72.317855
2/26/2017,The Sahara Club,"34 Bates St, Methuen, MA 01844",42.729497,-71.144498
3/31/2017,Main Street Museum,"58 Bridge St, White River Junction, VT 05001",43.650000,-72.319108
4/14/2017,Sammy's Patio,"63 Revere Beach Blvd, Revere, MA 02151",42.405838,-70.991668
4/20/2017,The Bungalow,"333 Valley St, Manchester, NH 03103",42.981037,-71.454708
5/2/2017,Middle East,"472-480 Massachusetts Ave, Cambridge, MA 02139",42.363792,-71.101414
5/6/2017,13th Floor Music Lounge,"99 Main St, Florence, MA 01062",42.335608,-72.671386
5/13/2017,Rick & Kat's Howlin' Mouse,"158 North Main St, Rutland, VT 05701",43.619280,-72.974001
5/22/2017,Flask Lounge,"117 Spring St, Portland, ME 04101",43.653026,-70.262374
